Name,Year,Durasi(Menit),Rating,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World
Ant-Man and the Wasp: Quantumania,2023,124,PG-13,200000000,214504909,106109650,2023-02-19 00:00:00,476071180
Indiana Jones and the Dial of Destiny,2023,154,PG-13,294700000,174480468,60368101,2023-07-02 00:00:00,383963057
The Killer,2023,118,R,0,0,0,1900-01-01 00:00:00,0
The Little Mermaid,2023,135,PG,250000000,298172056,95578040,2023-05-28 00:00:00,569626289
Elemental,2023,101,PG,200000000,154426697,29602429,2023-06-18 00:00:00,496444308
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,99,PG,70000000,118613586,28007544,2023-08-06 00:00:00,180513586
Haunted Mansion,2023,123,PG-13,150000000,67653287,24082475,2023-07-30 00:00:00,117449790
Wish,2023,95,PG,200000000,63973821,19698228,2023-11-26 00:00:00,254997360
Ruby Gillman: Teenage Kraken,2023,91,PG,70000000,15753600,5500990,2023-07-02 00:00:00,45528749
Crater,2023,105,PG,0,0,0,1900-01-01 00:00:00,0
